Candidato;Partido;Municipio;SiglaEstado;DiferencaPorcentagemDaMedia;VlrMedioOcupacao;VlrTotalDeclarado
VICTOR PRIORI;PSDB;GOIÁS;GO;29.632.508.402.317.800.000.000;778819.15;81539094.14
LIVONIO BRUSTOLIN;DEM;SÃO JOSÉ DO RIO CLARO;MT;29.395.570.122.157.400.000.000;122736.71;21344078.35
ANDERSON CABEÇÃO;PSB;AVELINÓPOLIS;GO;27.675.771.532.103.300.000.000;107711.15;17137740.58
JOSELIO GRANJEIRO SILVA;DEM;PASTOS BONS;MA;27.666.177.496.571.700.000.000;330229.38;20072900.00
VICTOR PRIORI;PSDB;JATAÍ;GO;27.179.732.786.072.300.000.000;292198.13;91164313.89
WALMIR;PP;ATALAIA DO NORTE;AM;26.934.576.987.737.600.000.000;352105.93;16670000.00
ZE DE FULGENCIO;PMDB;EUCLIDES DA CUNHA;BA;26.868.212.076.652.900.000.000;609705.58;36395000.00
OSCAR BEZERRA;PSB;JUARA;MT;26.688.982.102.677.300.000.000;208304.90;39515281.14
PAULO MALUF;PP;SÃO PAULO;SP;26.611.809.364.229.400.000.000;1678887.13;156652322.58
VITO;PSDB;PINDAMONHANGABA;SP;26.231.768.810.761.700.000.000;659775.70;47643379.49
AUGUSTO DE JESUS;PRB;POÁ;SP;26.205.767.833.633.200.000.000;643421.73;161132000.00
BRANDÃO REZENDE;PMDB;TUPIRATINS;TO;25.906.763.213.987.200.000.000;626762.39;53602750.00
PAULO HENRIQUE;PSC;AVEIRO;PA;25.797.260.760.861.500.000.000;111489.00;18000000.00
QUÉRCIA;PMDB;SÃO PAULO;SP;25.605.381.969.788.200.000.000;847957.21;229139689.25
ZÉ CAPETA;PT;SANTO ANTÔNIO DO GRAMA;MG;25.160.427.350.583.200.000.000;156503.05;25020000.00
JAYRO LESSA;DEM;MINAS GERAIS;MG;25.052.802.608.416.400.000.000;740599.15;84438656.21
CIRO CAMPOS;PSDB;CONTAGEM;MG;25.052.126.273.006.400.000.000;168084.32;27253000.00
ZECA VIANA;PDT;MATO GROSSO;MT;24.975.317.213.011.400.000.000;1066616.98;95089823.36
LUIZ ANTONIO ALVES;PR;RIO DE JANEIRO;RJ;24.530.286.135.160.100.000.000;99734.85;13797483.78
MORANDINI;PDT;SANTA RITA DO TRIVELATO;MT;24.477.908.671.261.900.000.000;609705.58;27954500.00
LUCEMIR AMARAL;PSDB;CANAS;SP;24.452.143.716.335.300.000.000;765722.18;13919672.64
JONAS MUNIZ;PSDB;CRUZ;CE;23.628.743.288.997.100.000.000;733240.21;57833050.21
ALFREDO KAEFER;PSDB;PARANÁ;PR;23.358.257.545.776.200.000.000;2711670.07;276508447.93
YURI FONSECA;PMDB;PARÁ;PA;23.050.393.363.023.500.000.000;266534.73;15468022.26
WANDER;PMDB;ACREÚNA;GO;22.696.021.953.878.400.000.000;641531.45;27620645.15
WARMILLON BRAGA;DEM;PIRAPORA;MG;22.231.661.337.362.600.000.000;162471.07;62990000.00
EUNÍCIO;PMDB;CEARÁ;CE;21.528.563.862.508.300.000.000;1093380.86;161399705.14
JURACY FREIRE;PP;PORTEIRINHA;MG;21.384.807.673.840.700.000.000;784912.80;62156716.73
VADÃO;PP;SÃO PAULO;SP;21.207.187.321.417.500.000.000;930807.36;228293122.21
DARCY COLOCA;PMDB;GAMELEIRA DE GOIÁS;GO;21.086.832.390.625.400.000.000;609705.58;24344000.00
MARINALDO ROSENDO;PSB;TIMBAÚBA;PE;20.677.808.514.309.600.000.000;633473.63;40974667.83
ARNALDO ENOMOTO;PSDB;PEREIRA BARRETO;SP;20.370.836.969.750.200.000.000;626762.39;45641126.28
LUCIO PINTO;PMDB;PORTO SEGURO;BA;19.817.490.655.922.600.000.000;255591.62;33389559.20
MURILO ZAUITH;DEM;DOURADOS;MS;19.802.703.067.133.900.000.000;600379.48;19412298.82
EMIDIO DE SOUZA;PSL;MATO GROSSO;MT;19.526.858.532.796.400.000.000;899814.98;21553000.00
ROBERTINHO;PRB;RURÓPOLIS;PA;18.970.512.362.139.900.000.000;171551.26;13821000.00
ERONILDO VALADARES;PMDB;PORANGATU;GO;18.930.928.157.084.000.000.000;840864.76;66444924.88
NICO;PP;PALMA SOLA;SC;18.896.872.021.812.200.000.000;211036.05;24142622.66
ALYNE;PSB;CAIAPÔNIA;GO;18.665.337.141.615.100.000.000;175200.77;13500000.00
ALTAMIR MEIRELES;PT;ITAPOROROCA;PB;18.440.413.124.263.300.000.000;192374.05;15005000.00
DRA MÁRCIA;PMDB;CAMAPUÃ;MS;18.369.876.475.273.600.000.000;178898.99;26572800.00
GILSON VIDA SERENA;PTC;VÁRZEA GRANDE;MT;18.140.648.072.636.700.000.000;167885.35;18000000.00
JORDÃO;PMDB;NOVO SÃO JOAQUIM;MT;18.132.710.053.869.700.000.000;618722.08;15071415.63
WALDELI;PR;COSTA RICA;MS;18.061.137.604.951.900.000.000;259063.72;44468402.45
